Time (s),0.000000
Number of Particles,3152
ID,Type,Position.x (m),Position.y (m),Position.z (m),Velocity.x (m/s),Velocity.y (m/s),Velocity.z (m/s),Pressure (Pa),Number Density Ratio
102,1,-0.012500,0.122500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
103,1,-0.012500,0.127500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
104,1,-0.012500,0.132500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
105,1,-0.012500,0.137500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
106,1,-0.012500,0.142500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
107,1,-0.012500,0.147500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
108,1,-0.012500,0.152500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
109,1,-0.012500,0.157500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
110,1,-0.012500,0.162500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
111,1,-0.012500,0.167500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
112,1,-0.012500,0.172500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
113,1,-0.012500,0.177500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
114,1,-0.012500,0.182500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115,1,-0.012500,0.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
116,1,-0.012500,0.192500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
117,1,-0.012500,0.197500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
118,1,-0.012500,0.202500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
119,1,-0.012500,0.207500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120,1,-0.012500,0.212500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
121,1,-0.012500,0.217500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
122,1,-0.012500,0.222500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
123,1,-0.012500,0.227500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
124,1,-0.012500,0.232500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
125,1,-0.012500,0.237500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
126,1,-0.012500,0.242500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
127,1,-0.012500,0.247500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
128,1,-0.012500,0.252500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
129,1,-0.012500,0.257500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
130,1,-0.012500,0.262500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
131,1,-0.012500,0.267500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
132,1,-0.012500,0.272500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
133,1,-0.012500,0.277500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
134,1,-0.012500,0.282500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
135,1,-0.012500,0.287500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
136,1,-0.012500,0.292500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
137,1,-0.012500,0.297500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
138,1,-0.012500,0.302500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
139,1,-0.012500,0.307500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
140,1,-0.012500,0.312500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
141,1,-0.012500,0.317500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
142,1,-0.012500,0.322500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
143,1,-0.012500,0.327500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
144,1,-0.012500,0.332500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
145,1,-0.012500,0.337500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
146,1,-0.012500,0.342500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
147,1,-0.012500,0.347500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
148,2,-0.007500,-0.017500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
149,1,-0.007500,-0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150,1,-0.007500,-0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
151,1,-0.007500,-0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
152,1,-0.007500,0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
153,1,-0.007500,0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
154,1,-0.007500,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
155,1,-0.007500,0.017500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
156,1,-0.007500,0.022500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
157,1,-0.007500,0.027500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
158,1,-0.007500,0.032500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
159,1,-0.007500,0.037500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
160,1,-0.007500,0.042500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
161,1,-0.007500,0.047500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
162,1,-0.007500,0.052500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
163,1,-0.007500,0.057500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
164,1,-0.007500,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
165,1,-0.007500,0.067500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
166,1,-0.007500,0.072500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
167,1,-0.007500,0.077500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
168,1,-0.007500,0.082500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
169,1,-0.007500,0.087500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
170,1,-0.007500,0.092500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
171,1,-0.007500,0.097500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
172,1,-0.007500,0.102500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
173,1,-0.007500,0.107500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
174,1,-0.007500,0.112500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
175,1,-0.007500,0.117500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
176,1,-0.007500,0.122500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
177,1,-0.007500,0.127500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
178,1,-0.007500,0.132500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
179,1,-0.007500,0.137500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
180,1,-0.007500,0.142500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
181,1,-0.007500,0.147500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
182,1,-0.007500,0.152500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
183,1,-0.007500,0.157500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
184,1,-0.007500,0.162500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
185,1,-0.007500,0.167500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
186,1,-0.007500,0.172500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
187,1,-0.007500,0.177500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
188,1,-0.007500,0.182500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
189,1,-0.007500,0.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
190,1,-0.007500,0.192500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
191,1,-0.007500,0.197500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
192,1,-0.007500,0.202500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
193,1,-0.007500,0.207500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
194,1,-0.007500,0.212500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
195,1,-0.007500,0.217500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
196,1,-0.007500,0.222500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
197,1,-0.007500,0.227500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
198,1,-0.007500,0.232500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
199,1,-0.007500,0.237500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200,1,-0.007500,0.242500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
201,1,-0.007500,0.247500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
202,1,-0.007500,0.252500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
203,1,-0.007500,0.257500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
204,1,-0.007500,0.262500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
205,1,-0.007500,0.267500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
206,1,-0.007500,0.272500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
207,1,-0.007500,0.277500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208,1,-0.007500,0.282500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209,1,-0.007500,0.287500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210,1,-0.007500,0.292500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
211,1,-0.007500,0.297500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
212,1,-0.007500,0.302500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
213,1,-0.007500,0.307500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
214,1,-0.007500,0.312500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
215,1,-0.007500,0.317500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
216,1,-0.007500,0.322500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
217,1,-0.007500,0.327500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
218,1,-0.007500,0.332500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
219,1,-0.007500,0.337500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
220,1,-0.007500,0.342500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
221,1,-0.007500,0.347500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
222,2,-0.002500,-0.017500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
223,1,-0.002500,-0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
224,1,-0.002500,-0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
225,1,-0.002500,-0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
226,1,-0.002500,0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
227,1,-0.002500,0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
228,1,-0.002500,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
229,1,-0.002500,0.017500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
230,1,-0.002500,0.022500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
231,1,-0.002500,0.027500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
232,1,-0.002500,0.032500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
233,1,-0.002500,0.037500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
234,1,-0.002500,0.042500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
235,1,-0.002500,0.047500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
236,1,-0.002500,0.052500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
237,1,-0.002500,0.057500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
238,1,-0.002500,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
239,1,-0.002500,0.067500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
240,1,-0.002500,0.072500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
241,1,-0.002500,0.077500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
242,1,-0.002500,0.082500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
243,1,-0.002500,0.087500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
244,1,-0.002500,0.092500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
245,1,-0.002500,0.097500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
246,1,-0.002500,0.102500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
247,1,-0.002500,0.107500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
248,1,-0.002500,0.112500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
249,1,-0.002500,0.117500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
250,1,-0.002500,0.122500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
251,1,-0.002500,0.127500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
252,1,-0.002500,0.132500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
253,1,-0.002500,0.137500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
254,1,-0.002500,0.142500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255,1,-0.002500,0.147500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
256,1,-0.002500,0.152500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
257,1,-0.002500,0.157500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
258,1,-0.002500,0.162500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
259,1,-0.002500,0.167500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
260,1,-0.002500,0.172500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
261,1,-0.002500,0.177500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
262,1,-0.002500,0.182500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
263,1,-0.002500,0.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
264,1,-0.002500,0.192500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
265,1,-0.002500,0.197500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
266,1,-0.002500,0.202500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
267,1,-0.002500,0.207500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
268,1,-0.002500,0.212500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
269,1,-0.002500,0.217500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
270,1,-0.002500,0.222500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
271,1,-0.002500,0.227500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
272,1,-0.002500,0.232500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
273,1,-0.002500,0.237500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
274,1,-0.002500,0.242500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
275,1,-0.002500,0.247500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
