Time (s),0.000000
Number of Particles,458
ID,Type,Position.x (m),Position.y (m),Position.z (m),Velocity.x (m/s),Velocity.y (m/s),Velocity.z (m/s),Pressure (Pa),Number Density Ratio
71,1,-0.005000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72,1,-0.005000,0.135000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73,1,-0.005000,0.145000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74,1,-0.005000,0.155000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75,1,-0.005000,0.165000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76,1,-0.005000,0.175000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77,1,-0.005000,0.185000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78,1,-0.005000,0.195000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79,1,-0.005000,0.205000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80,1,-0.005000,0.215000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81,1,-0.005000,0.225000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82,1,-0.005000,0.235000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83,1,-0.005000,0.245000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84,2,0.005000,-0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85,2,0.005000,-0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86,1,0.005000,-0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87,0,0.005000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88,0,0.005000,0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89,0,0.005000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,0,0.005000,0.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91,0,0.005000,0.045000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92,0,0.005000,0.055000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93,0,0.005000,0.065000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94,0,0.005000,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95,0,0.005000,0.085000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96,0,0.005000,0.095000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97,0,0.005000,0.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98,0,0.005000,0.115000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99,0,0.005000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,0,0.005000,0.135000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
101,0,0.005000,0.145000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
102,0,0.005000,0.155000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
